Item Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fiber (g),Sodium (mg)
plain cream cake,353.94,47.18,6.18,16.17,0.71,174.0
apple cake (seb ka cake),290.08,39.48,4.94,12.87,1.22,136.95
marble cake,354.11,46.88,6.3,16.27,0.71,138.48
chocolate cake,335.61,45.14,6.01,15.18,0.64,241.93
orange cake,357.61,48.28,6.1,16.21,0.83,105.41
fruit loaf,324.19,46.49,5.36,13.31,0.87,160.6
banana cake (kele ka cake),389.51,40.0,5.77,23.31,1.14,117.81
chocolate chiffon cake,311.71,37.87,5.76,15.8,0.7,188.59
christmas cake,372.95,48.29,5.49,16.88,1.49,64.84
strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,0.79,107.27
eggless cake,318.08,46.14,8.12,11.75,0.68,310.5
swiss roll,251.87,48.34,7.3,3.77,0.55,51.9
pineapple pastry,208.21,29.04,6.06,7.87,0.72,44.3
black forest pastry,233.55,34.48,6.09,8.46,0.54,53.43
coconut finger,274.86,42.56,7.09,8.86,1.87,46.86
pineapple cake,195.57,23.51,5.01,9.34,0.76,37.47
chocolate walnut cookies (chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,1.54,280.44
chocolate chip cookies,425.29,57.98,5.79,19.38,1.05,278.29
sweet plain biscuit,380.76,50.29,5.86,17.67,1.07,132.59
chocolate biscuit,379.76,51.56,5.88,17.09,1.01,127.02
coconut biscuit (nariyal ke biscuit),434.98,42.9,5.78,27.16,3.64,105.76
sweet and salty biscuit (meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,1.68,414.7
peanut biscuit,401.05,46.72,8.45,20.41,2.48,202.26
pin wheel biscuit,404.6,54.56,5.4,18.66,1.16,131.73
saffron biscuit (kesar biscuit),458.61,59.7,6.05,22.01,1.9,5.65
masala biscuit,393.64,45.18,6.06,20.75,2.14,714.52
ice box cookies,374.24,56.09,5.7,14.44,1.28,449.14
ginger bread man,365.0,60.26,6.61,11.01,1.6,477.99
danish cookies,475.33,58.0,5.33,24.92,1.37,201.06
short bread cookies,443.09,64.82,6.03,17.98,1.57,145.0
coffee biscuit,416.57,46.55,6.9,23.0,1.59,112.53
melting moments,437.91,55.84,5.71,21.78,1.88,119.09
ginger biscuit (adarak ke biscuit),417.91,58.44,5.98,18.31,1.49,79.68
soyabean muthias,839.33,3.7,2.46,90.45,1.47,78.25
soyabean tikki,698.17,4.39,3.53,74.02,2.2,88.72
soyabean namak paras,838.46,4.65,2.65,89.83,1.41,72.05
peanut burfi (moongfali ki burfi),550.99,48.14,9.31,36.84,4.09,6.78
spinach peanut namak paras (palak moongfali namak paras),740.16,6.62,1.65,78.51,0.81,73.15
gram flour and semolina chilla/cheela/savory pancake (besan suji chilla/cheela),758.89,7.63,2.08,80.04,1.39,74.88
rice moong dal cheela (chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,1.18,142.82
split bengal gram sweet rice (channa dal sweet rice),190.21,41.07,4.15,0.64,2.23,8.38
sweet poori (meethi poori),782.75,14.26,2.12,79.63,1.54,2.57
wheat flour and moong dal burfi (atta aur moong dal ki burfi),441.08,60.0,9.84,18.41,6.02,5.25
spinach burfi (palak burfi),121.17,12.76,2.71,6.81,1.17,27.77
sweet split chickpea roti (sweet channa dal roti/puranpoli),366.59,62.66,9.51,7.93,8.16,12.05
sprouted moong daliya,111.56,14.77,2.81,4.71,3.12,196.73
sprouted moong poha,192.6,26.6,5.59,6.89,3.13,220.82
pearl millet ladoo (bajra ladoo),319.66,50.98,9.61,8.06,6.0,12.26
paushtik ladoo,485.87,60.34,7.65,24.98,4.57,6.09
paushtik roti,149.26,26.59,7.17,1.51,5.74,170.96
semolina carrot vada (suji gajar vada),699.53,6.52,1.56,74.07,1.07,73.17
dhokla,216.49,30.68,13.45,5.28,4.95,376.02
kashmiri tea (kehwa),24.9,5.23,0.17,0.51,0.16,0.29
steeped hot coffee,15.91,3.01,0.39,0.33,0.0,2.82
hot chocolate,90.01,9.02,3.43,4.61,0.0,36.04
cold coffee (with cream),82.76,11.98,1.93,3.29,0.0,15.35
banana milkshake with ice cream (kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,0.27,16.63
flavoured milkshake,66.78,8.65,2.06,2.83,0.0,16.34
jal jeera,30.24,6.7,0.44,0.26,0.95,215.62
gingo,48.02,12.42,0.14,0.06,0.17,21.5
mintade,40.32,10.59,0.03,0.02,0.03,26.69
canjee,6.61,0.44,0.24,0.42,0.36,43.03
cauliflower canjee (phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.49,41.45
potato canjee (aloo canjee),16.26,2.69,0.44,0.39,0.43,35.99
vermicelli porridge (semiya/seviyan porridge),78.4,10.56,2.5,2.98,0.48,65.33
semolina upma (suji/rava upma),147.89,16.31,3.3,7.49,3.24,101.59
vermicelli upma (semiya/seviyan upma),149.11,16.88,3.11,7.45,3.21,101.8
rice upma,151.27,17.96,2.63,7.46,2.12,101.75
bread upma,129.51,12.6,2.8,7.75,1.96,176.44
vegetable upma,146.47,16.46,4.73,6.63,4.19,347.02
poha,294.53,35.05,6.09,14.14,3.72,377.1
vegetable poha,180.52,21.52,4.89,8.07,3.76,418.02
moong dal stuffed cheela/chilla (moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,4.25,267.23
paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,4.03,289.1
indian style egg bhujia (anda bhujia (indian style)),102.83,3.76,6.1,7.02,1.53,218.05
french omelette/omlet,211.04,0.41,10.03,18.86,0.38,381.85
puffy omelette/omlet,188.15,0.08,8.82,16.84,0.0,340.53
orange omelette/omlet,194.66,1.68,8.93,16.84,0.0,340.92
cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,0.93,400.29
spanish omelette/omlet,157.45,5.1,8.25,11.44,2.54,233.87
mixed stock,25.19,0.33,2.06,1.71,0.15,9.51
meat stock,24.48,0.0,2.1,1.78,0.0,8.62
white stock,6.99,0.4,0.07,0.56,0.17,1.56
meat consomme (with mutton),29.76,0.51,14.86,13.68,0.71,12665.52
consomme au julienne,27.76,1.49,12.49,10.66,1.38,10208.47
consomme au vermicelli,29.94,1.3,15.23,12.98,0.81,12524.61
green pea soup (matar ka soup),39.81,3.63,11.06,12.9,2.49,10958.11
spinach soup (palak ka soup),32.59,3.03,10.54,14.26,1.98,12088.21
mixed vegetable soup,35.71,2.95,8.22,11.66,1.64,9202.27
cheese soup,41.13,1.87,12.39,17.07,1.8,13695.35
mulligatawny soup,54.42,8.24,11.26,13.28,2.6,11602.5
cream of carrot soup,59.77,5.69,8.27,12.35,1.98,8694.79
cream of broccoli soup,56.14,3.72,8.97,12.75,1.89,8792.43
cream of potato soup,60.2,6.14,8.1,12.05,1.51,8503.99
almond soup (badam ka soup),78.65,3.68,10.13,13.8,0.91,8376.94
cold cucumber cream soup,11.88,1.76,0.34,0.34,0.73,207.89
cold tomato soup,16.9,0.59,0.11,1.56,0.16,287.15
chicken stew,127.55,4.44,7.19,8.91,1.82,79.62
veg paneer stew,145.55,10.22,6.98,8.41,3.08,73.15
onion-green chilli parantha/paratha (pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,5.16,241.19
methi parantha/paratha,148.36,22.19,4.27,4.34,5.09,48.36
bathua poori,598.79,13.85,2.35,59.14,1.87,49.71
gram flour poori (besan poori),697.66,10.93,2.59,71.51,1.94,58.33
beetroot poori (chukandar ki poori),527.66,12.29,1.91,52.18,1.4,46.48
peas poori (matar ki poori),592.83,14.92,3.04,57.69,2.25,47.77
peas kachori (matar kachori),584.68,13.25,3.21,57.51,2.03,55.45
pizza,146.77,9.94,6.85,8.72,1.71,225.02
bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.59,344.23
cheese and tomato pancake,147.39,10.66,5.15,9.28,1.06,281.62
minced meat pancake (with chicken),116.04,8.18,12.01,10.48,0.7,4942.18
eggplant/brinjal rice (vangi bhat),184.8,31.74,5.28,3.67,4.44,59.06
kashmiri 'tahar',98.21,19.11,1.95,1.37,0.98,61.29
cumin pulao (jeera/zeera pulao),135.24,23.61,2.47,3.2,1.4,219.73
peas pulao (matar pulao),108.87,18.42,3.89,1.9,3.21,86.18
split bengal gram dal and vegetable pulao (channa dal and vegetable pulao),116.53,19.72,3.6,2.3,3.16,98.07
black channa pulao/ bengal gram pulao (kale chane ka pulao),125.51,21.55,3.44,2.58,2.69,103.09
mutton pulao,130.77,11.26,6.52,10.78,1.65,3115.59
chicken pulao,108.24,11.17,6.07,8.48,1.64,3093.47
mexican rice,120.57,14.21,4.62,4.88,1.64,93.42
plain khitchdi (plain khichri/khichdi),57.03,10.04,1.72,1.01,0.85,37.14
instant idli (with semolina),247.29,43.4,9.16,3.61,7.13,1504.66
plain dosa,380.91,64.08,10.34,8.43,5.23,142.98
masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,4.31,122.08
masala dosa paneer fillings,243.12,29.76,10.31,8.84,3.11,160.4
uttapam,255.95,36.28,6.18,9.03,4.4,228.69
appam,267.7,13.28,3.12,22.63,6.19,26.59
beans and macaroni,136.08,14.24,4.58,7.01,2.05,182.79
spaghetti bolognese,97.43,10.04,9.35,9.51,1.08,5358.6
meat and macaroni casserole,161.55,16.12,9.15,10.17,1.19,2511.99
spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.11,189.13
spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,1.25,199.55
lasagne with meat sauce,63.38,5.38,2.9,3.43,0.47,37.08
lasagne with vegetables,49.23,5.9,1.71,2.16,0.66,40.78
home made egg noodles,240.84,42.92,6.55,4.37,1.6,177.24
sour lentils (khatti dal),34.79,6.04,2.22,0.12,1.22,115.6
urad special dehusked,69.43,8.86,3.14,2.17,2.5,109.56
arhar with spinach (arhar dal aur palak),52.84,4.77,2.05,2.76,1.3,109.97
moong dal with vadi,24.08,1.0,0.4,2.05,0.39,112.36
rasam with tamarind (puli rasam/ chintapandu rasam/ charu/saaru),26.74,3.37,1.13,0.88,1.6,104.11
rasam with lemon (nimmakaya rasam/nimmakaya charu/elumichai rasam/nimbe hannina saaru),24.41,2.85,1.11,0.87,1.54,102.77
green gram whole with baghar (sabut moong dal with tadka),63.43,6.8,3.23,2.48,3.02,181.69
urad sabut special,79.39,5.03,2.33,5.46,2.15,60.09
kabuli channa curry,68.57,7.63,2.92,3.06,1.12,122.05
besan gatte curry,189.38,16.26,7.75,10.72,3.25,356.27
dry masala chops,135.07,3.3,9.08,9.54,0.86,83.47
mutton korma,115.64,2.53,7.09,8.54,0.78,56.94
shahi keema kofta curry,418.13,1.73,4.14,43.83,0.91,104.53
minced meat ball curry,109.79,2.86,6.82,7.85,1.49,170.06
boti kebab,132.86,3.06,9.22,9.27,0.76,78.14
mutton seekh kebab,133.94,3.11,11.25,8.43,1.88,102.17
indian lamb and egg curry (nargisi kofta),335.75,2.07,3.84,34.7,0.6,57.44
soya chunks sweet and sour (nutrinugget sweet and sour),500.94,3.27,2.85,55.99,0.86,2257.67
soya chunks korma (nutrinugget korma),131.43,7.67,3.86,9.5,2.57,148.98
mushroom matar,70.77,5.33,2.79,4.11,3.13,61.63
soya chunks and peas (nutrinugget matar),82.62,5.82,3.03,5.11,2.86,70.97
vegetable yakhni,406.06,1.94,1.18,43.8,0.61,38.05
spinach mushroom (palak mushroom),47.63,2.95,1.94,2.96,2.27,70.97
vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,0.86,73.56
roast chicken,199.9,0.1,20.49,13.06,0.03,71.71
shahi chicken masala,163.7,4.07,9.82,12.02,0.96,142.56
tomato chicken,111.68,2.13,10.57,6.71,1.42,104.83
creamy chicken,152.87,3.13,13.52,9.57,0.69,97.08
broccoli chicken ala king,119.56,5.34,7.97,7.57,1.92,104.01
ginger chicken,129.17,5.6,8.24,8.24,1.21,365.86
chicken sweet and sour,445.09,2.67,6.92,47.59,0.58,1809.94
chicken korma,147.96,5.43,9.83,9.67,1.82,119.21
bengal fish curry (bengali machli curry),109.43,4.42,7.26,7.03,1.93,76.38
fish finger,542.9,4.47,5.66,55.82,0.34,103.55
fish in coconut milk (nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.52,73.93
prawn curry (with coconut) (jhinga curry),109.55,3.1,8.54,6.93,1.56,375.86
baked stuffed fish,121.96,2.12,16.14,5.43,0.38,74.36
fish pie,120.9,7.74,9.25,5.77,0.76,101.8
crispy baked fish,138.4,9.59,10.95,6.41,1.21,192.42
fish souffle,139.71,5.14,10.51,8.55,0.19,92.45
potato curry (aloo ki sabzi),89.56,10.42,1.52,4.47,2.42,78.4
egg curry (anda curry),117.52,4.03,5.38,8.81,2.09,142.12
vegetable curry with coconut,83.07,7.19,2.77,4.66,3.35,43.4
curd with potatoes (dahi aloo),59.9,7.15,1.56,2.72,1.19,51.99
potato kofta curry (aloo kofta curry),455.4,2.78,0.56,49.08,0.56,30.12
yam kofta curry (zimikand/suran kofta curry),322.88,3.75,0.71,33.84,1.04,42.22
jackfruit kofta curry (kathal ka kofta curry),321.08,3.17,0.8,33.83,0.96,40.04
spinach and potato (palak aloo),57.17,5.91,1.63,2.82,2.04,62.46
mooli bhujia,91.2,4.74,1.69,7.25,2.36,89.73
bathua bhujia,90.9,3.63,2.26,7.29,3.8,81.99
cabbage rolls (dry) ((pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.84,118.05
cabbage rolls (curry) ((pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,2.35,123.98
dry arbi (sookhi arbi),134.95,11.11,2.12,8.97,2.47,81.25
masala arbi,185.38,16.16,3.01,11.9,3.1,261.31
peas brinjal bhartha (matar baingan bhartha),84.55,5.02,2.05,6.05,3.63,63.65
okra/lady's fingers fry (bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,3.57,92.78
crispy okra/crispy lady's fingers (karare bhindi),657.76,4.35,1.91,70.4,1.75,40.42
beans foogath,105.06,3.26,2.03,9.22,4.15,81.22
stuffed bittergourd (wet) (bharwa karele),162.36,4.68,1.36,15.24,2.86,360.09
jackfruit/kathal (dry),488.97,4.56,0.93,51.78,1.33,33.68
yam fried (zimikand/suran fried),491.76,5.47,0.79,51.79,1.44,37.07
"cauliflower, pea and potato bhujia (phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,3.26,86.29
vegetable jalfrezi,68.48,5.43,1.4,4.38,2.97,79.46
vegetables stir fry,30.78,3.19,1.04,1.47,1.37,55.0
broccoli delight,40.7,2.34,2.49,2.48,2.83,59.26
dhansak (vegetarian),82.8,7.28,3.32,4.18,4.17,34.18
cauliflower basket,90.95,3.97,5.21,5.88,2.4,194.22
stuffed bottle gourd (stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.18,106.99
ducheese potato,140.54,10.94,3.6,9.01,1.29,103.85
roast potatoes,87.32,14.52,1.53,2.35,1.71,90.67
stuffed baked potatoes,100.2,11.03,3.82,4.39,1.31,92.09
potato nests,111.62,11.05,5.71,4.77,2.49,182.12
parsley potato,119.51,13.81,1.49,6.28,1.59,4.62
creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.02,90.21
fricassee of mushroom,106.66,8.13,3.65,6.63,1.23,118.98
cauliflower au gratin,145.9,9.13,4.45,10.2,1.44,164.96
vegetable and cheese pie,126.88,8.76,4.03,8.28,1.91,117.99
spinach souffle,150.18,6.27,7.36,10.52,1.44,244.07
beetroot and egg salad (chukandar aur ande ka salad),84.92,3.4,3.36,6.45,0.55,110.12
sour cream potato salad,121.9,9.05,2.89,8.13,1.21,102.66
tossed green salad,49.88,3.82,1.33,3.24,1.33,65.09
spring basket salad,160.46,11.61,3.36,11.3,3.09,26.02
cucumber and yogurt salad (kheere aur dahi ka salad),36.13,4.72,2.09,0.93,1.66,141.73
chicken and tomato towers,100.55,2.36,6.9,6.99,1.14,76.02
jellied sunshine fruit salad,48.86,4.21,5.85,0.85,1.8,74.2
tomato aspic,50.37,5.02,6.87,0.26,1.58,98.17
frozen frosty fruit salad (phalon ka salaad),103.51,15.61,1.68,4.17,0.26,13.23
french dressing,733.77,3.68,0.32,79.65,0.22,261.13
mayonnaise without eggs,329.05,3.98,2.13,33.84,0.04,193.58
curd dressing,78.8,8.03,5.59,2.9,0.22,204.62
carrot raita (gajar ka raita),64.78,7.19,4.14,2.19,1.69,274.46
pumpkin raita (kaddu ka raita),55.6,6.02,3.74,1.88,1.04,129.14
mint and peanut raita (pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,1.79,223.01
spinach raita (palak ka raita),52.75,5.06,3.95,1.86,1.39,126.57
bathua raita,54.4,5.31,4.13,1.76,2.19,110.92
pineapple raita (ananas ka raita),67.74,8.62,3.9,2.02,1.39,135.48
banana raita (kele ka raita),89.03,13.51,4.13,2.07,1.0,135.43
mango raita (aam ka raita),67.37,8.23,3.9,2.14,0.89,135.46
guava raita (amarood ka raita),64.36,7.27,4.19,2.07,3.0,135.94
grapes raita (angoor ka raita),72.59,9.66,3.98,2.07,0.71,135.64
bottle gourd kheer (ghiya/lauki kheer),84.07,10.0,2.7,3.86,0.55,19.62
pumpkin kheer (kaddu ki kheer),86.35,10.44,2.76,3.86,0.63,20.99
apple kheer (seb ki kheer),81.3,11.34,2.14,3.18,0.51,15.86
caramel custard (baked),122.7,14.95,5.11,5.01,0.0,44.78
vanilla ice cream without egg,228.67,14.21,2.69,18.15,0.0,23.97
vanilla ice cream with egg,214.85,11.71,4.16,17.02,0.0,37.72
strawberry ice cream,215.61,12.26,4.15,16.96,0.0,37.62
chocochip ice cream,241.45,16.75,4.23,17.93,0.0,34.84
choconut ice cream,273.96,23.13,5.04,18.49,0.51,29.83
pear chocholate sunday,183.49,15.02,2.08,13.11,0.07,16.26
chocolate sauce,263.2,43.21,1.91,10.39,0.0,2.8
coffee ice cream,150.62,14.09,3.15,9.43,0.0,42.09
coffee pear alaska,203.99,19.36,2.88,13.22,0.15,51.11
crunchy butterscotch,277.32,19.92,3.11,20.99,0.47,22.24
peach melba ice cream,200.85,16.31,2.06,14.51,0.06,17.92
vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,0.26,31.54
grape and orange whip,57.39,6.72,1.41,2.62,0.97,14.36
honey banana cream,125.49,13.64,2.78,6.68,0.7,15.65
raspberry bavarian cream,150.1,17.82,3.34,7.88,2.19,24.59
fruit delight,107.09,9.11,2.09,7.09,0.09,17.27
creamy chocolate mousse,230.52,9.53,6.85,18.16,0.0,48.64
cold lemon souffle,169.87,15.62,5.89,9.78,0.0,46.35
cold orange souffle,173.19,16.27,5.94,9.82,0.11,46.53
cold pineapple souffle,181.22,16.85,6.23,10.39,0.0,49.38
cold vanilla souffle,179.54,16.29,6.22,10.32,0.0,49.09
cold chocolate souffle,187.53,17.22,6.37,10.86,0.0,47.77
stewed fruit (with pear),74.32,18.22,0.25,0.32,2.84,1.7
apricot fool,240.79,33.64,1.54,11.35,1.0,8.28
pavlova,200.6,21.84,1.84,12.29,0.06,26.34
apple crumb pudding,220.85,35.17,1.54,8.87,1.33,59.36
steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,0.29,100.32
hot lemon souffle,155.25,16.31,5.29,7.93,0.14,47.75
gulab jamun with milk powder,471.15,28.24,0.85,40.15,0.05,67.28
chum chum,130.05,28.27,1.52,1.92,0.02,16.65
dil bahar,130.05,28.27,1.52,1.92,0.02,16.65
rasbhari,130.05,28.27,1.52,1.92,0.02,16.65
rajbogh,133.7,28.16,1.71,2.28,0.11,16.57
rasgulla,118.64,25.79,1.38,1.75,0.01,15.19
rasmalai,135.55,29.17,1.61,2.11,0.07,16.46
khoa coconut burfi,411.45,36.55,9.98,26.01,4.07,31.14
danedar burfi,102.68,12.33,3.24,4.72,0.09,23.31
semolina burfi (suji/rava burfi),348.67,47.1,3.47,16.86,2.8,8.33
pumpkin coconut burfi (kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,4.29,8.95
khoa ladoo,396.02,34.43,12.21,24.09,3.08,31.71
wheat and gram flour ladoo (atta besan ladoo),501.7,50.5,9.38,29.86,6.01,27.06
semolina ladoo with nuts (suji/rava ladoo with nuts),441.84,48.02,5.44,25.45,4.27,3.93
sesame chickpeas brittle (til aur channe ki chikki),282.74,50.49,8.5,4.66,5.54,17.93
murmura chikki,253.82,59.59,2.12,0.32,0.37,15.03
masala onion pakora/pakoda (pyaaz ke pakode),551.64,6.48,2.05,57.61,1.44,99.22
masala green chilli pakora/pakoda (hari mirch kay pakode),668.76,5.55,2.22,71.01,1.34,120.9
chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.96,103.23
fish pakora/pakoda,577.03,4.55,5.97,59.52,0.96,112.24
paneer cutlet,672.2,7.62,4.59,69.38,0.39,91.45
sago cutlet/vadas (sabudana cutlet/vadas),558.76,11.23,0.56,56.97,0.54,48.17
poshtik cutlet,496.45,7.39,2.0,50.94,1.35,57.11
egg cutlet (anda cutlet),575.02,5.77,2.45,60.25,0.58,79.4
minced meat cutlet,531.86,5.61,5.1,54.47,0.4,95.81
vegetable samosa,443.11,13.22,2.21,42.22,1.52,107.7
plain urad dal vada (uzunne vada/minapa garelu/ulundu vadai/medu vada),745.5,9.7,4.39,76.32,2.27,65.87
masala urad dal vada,703.78,9.93,4.32,71.62,2.71,61.49
khaman (dhokla),54.73,5.36,1.92,2.8,1.49,124.1
instant dhokla,207.11,24.11,7.66,9.37,3.57,763.98
tomato ginger chutney (tamatar adarak ki chutney),44.66,9.11,1.05,0.32,2.14,209.42
mint tomato chutney (pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36,2.63,183.98
coriander chutney (hare dhaniye ki chutney),42.86,8.16,1.38,0.37,2.47,186.64
gooseberry chutney (amla chutney),43.02,8.83,1.44,0.62,4.58,215.09
walnut chutney (akhrot ki chutney),370.43,8.91,9.44,33.46,3.04,160.0
saunth/sonth chutney with ginger,84.22,20.62,0.28,0.11,0.31,222.53
gun powder chutney,312.34,47.65,21.55,2.67,13.95,195.67
dessicated coconut chutney (sookhe kase nariyal ki chutney),346.36,36.72,12.88,15.88,13.16,321.07
curd mint dip,76.13,9.11,4.82,2.44,0.77,222.77
curd vegetable dip,56.21,6.04,3.88,1.94,0.63,132.48
mayonnaise vegetable dip,241.27,4.8,3.01,23.44,0.41,119.58
tomato and cucumber sandwich (tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31,2.1,222.22
tomato sandwich (grilled),189.92,21.29,6.26,9.39,1.91,420.6
french sandwich (toasted),186.75,14.82,6.82,11.51,1.37,274.68
peanut butter cucumber sandwich,243.33,29.76,9.04,10.56,3.35,460.09
mint and peanut sandwich,273.59,31.83,7.18,13.88,3.67,453.3
spicy chutney sandwich,249.58,34.03,8.74,9.58,3.73,315.4
chicken walnut sandwich (chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77,1.53,287.39
rolled sandwich,293.07,34.69,6.45,15.29,2.07,321.57
ribbon sandwich,239.26,24.76,6.26,13.37,2.92,382.11
checker board sandwich,348.37,25.94,7.37,24.65,2.22,358.25
submarine sandwich,216.92,13.6,6.09,15.32,1.24,254.28
cheese open sandwich,274.07,28.42,9.84,14.24,1.74,504.41
sunset and sunrise open sandwich,241.31,18.89,8.58,15.14,1.39,381.29
danish luncheon sandwich,193.82,17.77,9.03,10.1,1.52,365.63
chicken and corn open sandwich,188.16,19.21,8.63,8.83,1.67,226.72
chocolate sponge cake,239.86,39.54,9.13,5.51,0.52,61.47
chocolate swiss roll,306.08,26.97,6.01,19.76,0.29,44.53
lemon curd filling,225.62,26.41,3.43,12.58,0.0,34.9
jam filling,184.62,46.15,0.0,0.0,0.0,0.0
chocolate pastry,243.37,32.24,7.05,10.12,0.32,46.54
assorted pastry,230.74,31.99,6.78,8.91,0.43,49.99
orange gateau,178.05,27.01,4.78,6.02,0.68,80.41
black forest gateau,217.82,30.57,5.94,8.58,0.28,79.37
lemon cake,373.85,43.1,5.29,20.63,0.62,151.29
dundee cake,396.62,41.4,7.78,22.7,1.81,182.74
victorian sandwich cake,373.09,44.74,5.18,19.83,0.59,145.28
chocolate eggless cake,312.01,43.45,6.66,13.19,0.32,196.61
orange eggless cake,355.62,52.65,7.16,13.82,0.56,226.28
chocolate glace icing,436.29,62.43,3.22,20.8,0.0,8.66
butter icing,500.72,71.64,0.19,25.37,0.0,5.98
chocolate butter icing,469.59,61.72,3.21,24.77,0.0,4.99
almond biscuit (badam ke biscuit),407.74,52.14,6.25,19.7,1.5,151.76
orange biscuit,354.78,62.11,3.63,11.01,0.75,259.14
gingerman biscuit,357.43,55.24,6.26,12.73,2.0,918.57
coffee drops,443.07,43.06,7.57,27.16,1.88,88.17
christmas biscuit,406.07,60.97,5.67,15.88,2.17,127.36
christmas wreath biscuit,386.05,58.07,5.43,15.01,2.28,120.2
christmas bell biscuit,404.85,60.79,5.66,15.84,2.33,127.01
christmas star biscuit,392.03,74.54,3.54,10.04,1.47,76.09
christmas tree biscuit,385.63,58.41,5.43,15.0,2.65,120.45
chocolate cream shells,427.17,59.26,5.1,19.34,0.9,126.84
jelly biscuit,404.61,55.24,4.23,19.33,2.02,110.57
cherry and walnut cookies,422.6,59.35,5.63,18.75,1.3,114.62
cheese straws,382.0,30.61,9.83,24.28,1.29,587.42
butterfly biscuit,341.45,25.33,9.98,22.11,1.02,572.05
flan pastry,445.8,47.84,6.72,25.04,1.58,193.23
fruit flan,261.35,34.71,3.3,12.48,0.71,110.04
orange cream flan,280.28,36.16,4.73,13.59,0.63,82.41
fruit puree tart,286.5,30.42,3.35,16.83,1.31,49.65
apple banana pie,243.99,32.12,3.13,11.39,1.89,384.43
lemon chiffon pie,259.31,27.63,4.88,14.52,0.66,94.95
orange chiffon pie,207.57,23.14,3.89,11.16,0.7,73.23
cream buns,215.74,14.16,4.45,15.81,0.31,45.49
savoury puffs,190.79,10.8,9.51,15.24,0.33,2274.24
choux swans,216.34,14.92,4.35,15.6,0.35,145.08
potato aigrettes,530.03,8.01,2.35,54.24,0.45,112.45
cream horns,408.23,23.12,3.42,33.55,0.6,57.11
savoury cheese horns,295.15,21.38,5.66,20.71,0.73,212.28
paneer patties,338.58,22.79,7.6,23.96,1.18,158.44
vegetable patties,261.92,20.98,4.01,17.74,2.62,139.52
pearl millet infant food (bajra shishu aahaar),362.44,62.1,11.98,6.62,7.84,12.67
sajina,345.26,66.87,10.81,3.03,7.62,11.7
cereal mix,120.81,21.84,3.32,2.02,2.03,9.29
pulse mix,83.29,16.0,3.16,0.54,2.25,3.88
shishu ahar,93.37,17.42,2.61,1.43,1.02,2.68
cereal pulse mix with amylase rice flour,151.57,27.8,4.27,2.74,3.47,1.03
banana groundnut paste/puree,213.19,36.15,4.27,5.45,1.7,16.85
rice dal porridge (chawal dal ki khichdi/khichri),383.33,65.04,10.8,8.33,4.51,12.33
lentils and semolina porridge (dal suji porridge/daliya),117.29,23.19,3.26,1.06,1.44,9.64
spinach khichri (palak khichri/khichdi),102.18,17.35,3.43,1.91,1.56,69.59
vegetable mix,174.21,36.02,4.7,0.94,1.93,34.94
lentils and wheat porridge (dal wheat porridge/daliya ),52.54,8.36,2.71,0.94,1.28,62.79
maize porridge,89.57,15.64,2.14,1.89,1.68,5.59
spinach peanut burfi (palak aur mungfali ki burfi),105.37,13.59,3.36,4.39,2.07,19.52
split bengal gram burfi/fudge (channa dal burfi),287.36,54.63,4.65,7.09,2.06,2.53
chickpea flour cookies (sweet besan rounds/cookies),207.01,39.64,4.29,3.42,2.56,22.29
pearl millet mathri (bajra mathri),785.08,7.42,1.82,83.12,1.36,33.17
sesame biscuit (til ke biscuit),424.03,53.65,8.27,19.34,6.83,182.26
